Timestamp,File Path,Program Name,SHA-1 Hash,Timeline Entry Number,Entry Type,Timestamp Description,Raw Entry
,,Microsoft.WebMediaExtensions,,98,ShimcacheProgramEntry,,"{""cache_entry_position"":97,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t00020001001a0000\t000a000065f40000\t8664\tMicrosoft.WebMediaExtensions\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.WebMediaExtensions"",""program_version"":""2.1.26.0"",""sdk_version"":""10.0.26100.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":182,""signature"":""10ts""}"
,,Microsoft.XboxIdentityProvider,,99,ShimcacheProgramEntry,,"{""cache_entry_position"":98,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t000c00823e810000\t000a00004a610000\t8664\tMicrosoft.XboxIdentityProvider\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.XboxIdentityProvider"",""program_version"":""12.130.16001.0"",""sdk_version"":""10.0.19041.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":186,""signature"":""10ts""}"
,,Microsoft.WindowsAlarms,,100,ShimcacheProgramEntry,,"{""cache_entry_position"":99,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t0001000100550000\t000a0000585d0000\t8664\tMicrosoft.WindowsAlarms\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.WindowsAlarms"",""program_version"":""1.1.85.0"",""sdk_version"":""10.0.22621.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":172,""signature"":""10ts""}"
,,Microsoft.WebpImageExtension,,101,ShimcacheProgramEntry,,"{""cache_entry_position"":100,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t00010002000e0000\t000a000065f40000\t8664\tMicrosoft.WebpImageExtension\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.WebpImageExtension"",""program_version"":""1.2.14.0"",""sdk_version"":""10.0.26100.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":182,""signature"":""10ts""}"
,C:\Program Files (x86)\Microsoft\EdgeUpdate\1.3.227.11\MicrosoftEdgeUpdateComRegisterShell64.exe,,,102,ShimcacheFileEntry,,"{""cache_entry_position"":101,""controlset"":1,""data_size"":84,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,3,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\1.3.227.11\\MicrosoftEdgeUpdateComRegisterShell64.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:24:52.890Z"",""path_size"":192,""signature"":""10ts""}"
,C:\Program Files (x86)\Microsoft\Temp\EU27EE.tmp\MicrosoftEdgeUpdate.exe,,,103,ShimcacheFileEntry,,"{""cache_entry_position"":102,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,76,1,0,0,0,8,0,0,2,0,0,0,76,1,0,0,0,4,0,0,4,0,0,0,3,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files (x86)\\Microsoft\\Temp\\EU27EE.tmp\\MicrosoftEdgeUpdate.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:24:52.867Z"",""path_size"":144,""signature"":""10ts""}"
,C:\Program Files (x86)\Microsoft\EdgeUpdate\Install\{6AC88A2D-DDC7-476F-8179-7674B393F1B8}\MicrosoftEdgeUpdateSetup_X86_1.3.227.11.exe,,,104,ShimcacheFileEntry,,"{""cache_entry_position"":103,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,76,1,0,0,0,8,0,0,2,0,0,0,76,1,0,0,0,4,0,0,4,0,0,0,3,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files (x86)\\Microsoft\\EdgeUpdate\\Install\\{6AC88A2D-DDC7-476F-8179-7674B393F1B8}\\MicrosoftEdgeUpdateSetup_X86_1.3.227.11.exe""}},""executed"":null,""last_modified_ts"":""2026-04-07T23:24:51.684Z"",""path_size"":268,""signature"":""10ts""}"
,C:\WINDOWS\System32\sihclient.exe,,,105,ShimcacheFileEntry,,"{""cache_entry_position"":104,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\System32\\sihclient.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:46:10.824Z"",""path_size"":66,""signature"":""10ts""}"
,C:\WINDOWS\uus\packages\preview\AMD64\UIEOrchestrator.exe,,,106,ShimcacheFileEntry,,"{""cache_entry_position"":105,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\uus\\packages\\preview\\AMD64\\UIEOrchestrator.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:59.311Z"",""path_size"":114,""signature"":""10ts""}"
,C:\WINDOWS\system32\backgroundTaskHost.exe,,,107,ShimcacheFileEntry,,"{""cache_entry_position"":106,""controlset"":1,""data_size"":24,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\backgroundTaskHost.exe""}},""executed"":null,""last_modified_ts"":""2024-04-01T07:22:11.481Z"",""path_size"":84,""signature"":""10ts""}"
,C:\WINDOWS\system32\UIEOrchestratorStub.exe,,,108,ShimcacheFileEntry,,"{""cache_entry_position"":107,""controlset"":1,""data_size"":148,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,128,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\UIEOrchestratorStub.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:57.953Z"",""path_size"":86,""signature"":""10ts""}"
,C:\Windows\System32\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe,,,109,ShimcacheFileEntry,,"{""cache_entry_position"":108,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\System32\\Microsoft.Data.UsageAndQualityInsights.MaintenanceTask.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:24.135Z"",""path_size"":156,""signature"":""10ts""}"
,C:\Temp\chainsaw.exe,,,110,ShimcacheFileEntry,,"{""cache_entry_position"":109,""controlset"":1,""data_size"":160,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,3,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,128,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Temp\\chainsaw.exe""}},""executed"":null,""last_modified_ts"":""2026-04-04T02:29:14.327Z"",""path_size"":40,""signature"":""10ts""}"
,C:\Windows\System32\DataExchangeHost.exe,,,111,ShimcacheFileEntry,,"{""cache_entry_position"":110,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\System32\\DataExchangeHost.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:41.948Z"",""path_size"":80,""signature"":""10ts""}"
,C:\Temp\chainsaw\chainsaw\chainsaw.exe,,,112,ShimcacheFileEntry,,"{""cache_entry_position"":111,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""C:\\Temp\\chainsaw\\chainsaw\\chainsaw.exe""}},""executed"":null,""last_modified_ts"":""2026-04-04T02:29:14.327Z"",""path_size"":76,""signature"":""10ts""}"
,C:\Users\CozyBear\Downloads\chainsaw\chainsaw\chainsaw.exe,,,113,ShimcacheFileEntry,,"{""cache_entry_position"":112,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""C:\\Users\\CozyBear\\Downloads\\chainsaw\\chainsaw\\chainsaw.exe""}},""executed"":null,""last_modified_ts"":""2026-04-04T02:29:14.327Z"",""path_size"":116,""signature"":""10ts""}"
,,Microsoft.WindowsNotepad,,114,ShimcacheProgramEntry,,"{""cache_entry_position"":113,""controlset"":1,""data_size"":48,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,1,0,0,4,0,0,0,1,0,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t000b09d0001a0000\t000a000065f40000\t8664\tMicrosoft.WindowsNotepad\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.WindowsNotepad"",""program_version"":""11.2512.26.0"",""sdk_version"":""10.0.26100.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":174,""signature"":""10ts""}"
,C:\WINDOWS\system32\OpenWith.exe,,,115,ShimcacheFileEntry,,"{""cache_entry_position"":114,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\OpenWith.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:26.979Z"",""path_size"":64,""signature"":""10ts""}"
,SIGN.MEDIA=4EA908 setup.exe,,,116,ShimcacheFileEntry,,"{""cache_entry_position"":115,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""File"":{""path"":""SIGN.MEDIA=4EA908 setup.exe""}},""executed"":null,""last_modified_ts"":""2024-09-06T04:46:19.487Z"",""path_size"":54,""signature"":""10ts""}"
,,Microsoft.WindowsAppRuntime.1.3,,117,ShimcacheProgramEntry,,"{""cache_entry_position"":116,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000000\t0bb803a607700000\t000c000000000000\t8664\tMicrosoft.WindowsAppRuntime.1.3\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000000"",""architecture"":""Amd64"",""program_name"":""Microsoft.WindowsAppRuntime.1.3"",""program_version"":""3000.934.1904.0"",""sdk_version"":""12.0.0.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":188,""signature"":""10ts""}"
,,Microsoft.NET.Native.Framework.2.2,,118,ShimcacheProgramEntry,,"{""cache_entry_position"":117,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000000\t0002000273480000\t000a000027410000\t8664\tMicrosoft.NET.Native.Framework.2.2\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000000"",""architecture"":""Amd64"",""program_name"":""Microsoft.NET.Native.Framework.2.2"",""program_version"":""2.2.29512.0"",""sdk_version"":""10.0.10049.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":194,""signature"":""10ts""}"
,,Microsoft.NET.Native.Runtime.2.2,,119,ShimcacheProgramEntry,,"{""cache_entry_position"":118,""controlset"":1,""data_size"":36,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000000\t000200026fbc0000\t000a000027410000\t8664\tMicrosoft.NET.Native.Runtime.2.2\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000000"",""architecture"":""Amd64"",""program_name"":""Microsoft.NET.Native.Runtime.2.2"",""program_version"":""2.2.28604.0"",""sdk_version"":""10.0.10049.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":190,""signature"":""10ts""}"
,,Microsoft.DesktopAppInstaller,,120,ShimcacheProgramEntry,,"{""cache_entry_position"":119,""controlset"":1,""data_size"":124,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""Program"":{""raw_entry"":""00000009\t0001001c00db0000\t000a000065f40000\t8664\tMicrosoft.DesktopAppInstaller\t8wekyb3d8bbwe\t"",""unknown_u32"":""00000009"",""architecture"":""Amd64"",""program_name"":""Microsoft.DesktopAppInstaller"",""program_version"":""1.28.219.0"",""sdk_version"":""10.0.26100.0"",""publisher_id"":""8wekyb3d8bbwe"",""neutral"":false}},""executed"":null,""last_modified_ts"":null,""path_size"":184,""signature"":""10ts""}"
,C:\WINDOWS\system32\timeout.exe,,,121,ShimcacheFileEntry,,"{""cache_entry_position"":120,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\timeout.exe""}},""executed"":null,""last_modified_ts"":""2024-04-01T07:22:17.450Z"",""path_size"":62,""signature"":""10ts""}"
,C:\WINDOWS\system32\psr.exe,,,122,ShimcacheFileEntry,,"{""cache_entry_position"":121,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\psr.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:28.479Z"",""path_size"":54,""signature"":""10ts""}"
,C:\AtomicRedTeam\ExternalPayloads\Sysinternals\accesschk.exe,,,123,ShimcacheFileEntry,,"{""cache_entry_position"":122,""controlset"":1,""data_size"":84,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,76,1,0,0,0,8,0,0,2,0,0,0,76,1,0,0,0,4,0,0,4,0,0,0,3,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0],""entry_type"":{""File"":{""path"":""C:\\AtomicRedTeam\\ExternalPayloads\\Sysinternals\\accesschk.exe""}},""executed"":null,""last_modified_ts"":""2019-08-22T21:22:40Z"",""path_size"":120,""signature"":""10ts""}"
,C:\WINDOWS\system32\wbem\unsecapp.exe,,,124,ShimcacheFileEntry,,"{""cache_entry_position"":123,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\wbem\\unsecapp.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:46:04.290Z"",""path_size"":74,""signature"":""10ts""}"
,C:\WINDOWS\system32\sysmon.exe,,,125,ShimcacheFileEntry,,"{""cache_entry_position"":124,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\sysmon.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:23.354Z"",""path_size"":60,""signature"":""10ts""}"
,C:\WINDOWS\system32\mmc.exe,,,126,ShimcacheFileEntry,,"{""cache_entry_position"":125,""controlset"":1,""data_size"":604,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,200,1,0,0,104,171,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,1,0,0,0,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\system32\\mmc.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:16.546Z"",""path_size"":54,""signature"":""10ts""}"
,C:\WINDOWS\regedit.exe,,,127,ShimcacheFileEntry,,"{""cache_entry_position"":126,""controlset"":1,""data_size"":136,""data"":[0,2,0,0,4,0,0,0,1,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,0,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0,1,0,100,134,0,0,0,0,2,0,0,0,0,0,0,0,8,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\regedit.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:45:33.143Z"",""path_size"":44,""signature"":""10ts""}"
,C:\Windows\System32\conhost.exe,,,128,ShimcacheFileEntry,,"{""cache_entry_position"":127,""controlset"":1,""data_size"":12,""data"":[0,2,0,0,4,0,0,0,1,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Windows\\System32\\conhost.exe""}},""executed"":null,""last_modified_ts"":""2026-04-03T23:44:24.034Z"",""path_size"":62,""signature"":""10ts""}"
,C:\Program Files\Google\Chrome\Application\146.0.7680.178\Installer\chrmstp.exe,,,129,ShimcacheFileEntry,,"{""cache_entry_position"":128,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\Google\\Chrome\\Application\\146.0.7680.178\\Installer\\chrmstp.exe""}},""executed"":null,""last_modified_ts"":""2026-04-04T01:27:36.972Z"",""path_size"":158,""signature"":""10ts""}"
,C:\WINDOWS\SystemTemp\GoogleUpdater_chrome_Unpacker_BeginUnzipping5452_202101549\platform_experience_helper.exe,,,130,ShimcacheFileEntry,,"{""cache_entry_position"":129,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\WINDOWS\\SystemTemp\\GoogleUpdater_chrome_Unpacker_BeginUnzipping5452_202101549\\platform_experience_helper.exe""}},""executed"":null,""last_modified_ts"":""2026-03-18T11:36:18Z"",""path_size"":222,""signature"":""10ts""}"
,C:\Program Files\Google\Chrome\Application\146.0.7680.178\os_update_handler.exe,,,131,ShimcacheFileEntry,,"{""cache_entry_position"":130,""controlset"":1,""data_size"":72,""data"":[0,2,0,0,4,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,100,134,0,0,0,8,0,0,2,0,0,0,100,134,0,0,0,4,0,0,4,0,0,0,0,0,0,0,64,0,0,0,4,0,0,0,1,0,0,0,32,0,0,0,4,0,0,0,0,0,0,0],""entry_type"":{""File"":{""path"":""C:\\Program Files\\Google\\Chrome\\Application\\146.0.7680.178\\os_update_handler.exe""}},""executed"":null,""last_modified_ts"":""2026-03-31T01:37:15.017Z"",""path_size"":158,""signature"":""10ts""}"
